meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
Heights,"""Heights",阪,35,1390,7,,,"heights, pinnacle, parthenon, acropolis, anti-, demonstration, cliff, crotch","This character is used for proper names, much as the English word """"Heights"""" is. Its primitives: pinnacle . . . anti-.","If you´re scared of Heights, you don´t want to stay at The Pinnacle; you are anti- The Pinnacle. Primitive: The Pinnacle is a dream-like gated community at the top of a mount. This allows for innumerable stories for all the kanji with this primitive since you have a whole city to work with. Also prevents confusion with """"mountain"""".",ハン,さか,"阪 (さか)"""
Africa,"""Africa",阿,35,1391,8,,1,"africa, pinnacle, parthenon, acropolis, can, mouth, street, nail, spike","This kanji, an abbreviation for Africa, is now used chiefly for its sound, """"a,"""" not unlike the kanji for Italy and the sound """"i"""" that we met earlier (Frame 1245). Its composite elements are: pinnacles . . . can.",Can you see Africa from The Pinnacle? I can! I can!,ア、オ,,
occasion,"""occasion",際,35,1392,14,5,3,"occasion, pinnacle, parthenon, acropolis, ritual, moon, month, flesh, part of the body, crotch, altar, show, two, small",Pinnacle . . . ritual.,"Many rituals are practiced every day (blessing before meals, evening prayer, etc.) Only the peak rituals (wedding, Bar Mitzvah, etc.) qualify to be called an occasion.",サイ,きわ、-ぎわ,"際 (きわ)"""
hinder,"""hinder",障,35,1393,14,6,1,"hinder, pinnacle, parthenon, acropolis, badge, vase, stand up, sunflower, early, sun, day, ten, needle",Pinnacle . . . badge.,The officer at the gate to The Pinnacle with a giant badge sewn to his chest hinders all visitors. But not the handicapped. They´re hindered enough already. They´re given a badge and can pass right into The Pinnacle.,ショウ,さわ.る,"障る (さわ.る)"""
follow,"""follow",随,35,1395,12,,1,"follow, pinnacle, parthenon, acropolis, highwayman, possess, by one’s side, moon, month, flesh, part of the body, road",Pinnacle . . . possess . . . road.,[Image: Follow the ´Yellow-Brick Road´ to success] The pinnacle signifies your personal goal and destination. What you´re seeking to possess lies at the end of the yellow-brick road. You must follow the road to get what you want.,ズイ,,
auxiliary,"""auxiliary",陪,35,1396,11,,1,"obeisance, auxiliary, pinnacle, parthenon, acropolis, muzzle, vase, stand up, mouth",Pinnacle . . . muzzle.,"In case of emergency, The Pinnacle has auxiliary guard dogs, but they keep them muzzeled until they´re needed.",バイ,,
sunshine,"""sunshine",陽,35,1397,12,3,3,"sunshine, pinnacle, parthenon, acropolis, piggy bank, sun, day, piglets","Different from the primitive for sun (which figures in the character) and the kanji for ray (Frame 125), the key word sunshine is meant to convey the meaning of the masculine principle in nature, or """"Yang."""" (The dark is viewed mythically as the feminine principle; see frame 1718.) From there it comes to mean sun also. The elements are: pinnacle . . . piggy bank.","A kid is perched on a pinnacle with his piggy bank. He uses the coins to catch the sunshine, and redirect it into people´s eyes, far below.",ヨウ,,
line,up,陳,35,1398,11,,1,"exhibit, line up, pinnacle, parthenon, acropolis, east, tree, wood, sun, day",Pinnacle . . . east.,"Every morning at The Pinnacle, the residents line upon the East side for morning stretches and leisure.",チン,,
ward,off,防,35,1399,7,5,2,"ward off, pinnacle, parthenon, acropolis, compass, direction",Pinnacle . . . compass.,A giant compass is The Pinnacle´s self-defense system. It points in the direction of any invaders so the city is prepared well ahead to ward off the intruders.,ボウ,ふせ.ぐ,"防ぐ (ふせ.ぐ)"""
affixed,"""affixed",附,35,1400,8,,1,"affixed, pinnacle, parthenon, acropolis, adhere, sellotape, person, glue",Pinnacle . . . adhere.,A sign was AFFIXED on the PINNACLE of the Acropolis so that tourists would ADHERE to the rules.,フ,,
Inst.,"""Inst.",院,35,1401,10,3,4,"Inst., pinnacle, parthenon, acropolis, perfect, house, beginnings, two, human legs","This key word, the abbreviation for Institution, represents the use of that word as a suffix affixed to certain buildings and organizations. Its primitive elements: pinnacle . . . perfect.","The Institution of The Pinnacle is perfect in every way. It is the new House of God, his chosen city.",イン,,
camp,"""camp",陣,35,1402,10,,1,"camp, pinnacle, parthenon, acropolis, car",Pinnacle . . . car.,"Paparazzi make camp outside of The Pinnacle in their cars, waiting for the celebs to come out.",ジン,,
regiment,"""regiment",隊,35,1403,12,4,1,"regiment, pinnacle, parthenon, acropolis, animal horns, sow, pig, wart hog, regimental mascot",Pinnacle . . . animal horns . . . sow.,Every regiment of The Pinnacle´s army is lead by a Miss Piggy with a viking helmet on.,タイ,,
crash,"""crash",墜,35,1404,15,,1,"crash, regiment, pinnacle, parthenon, acropolis, animal horns, sow, pig, wart hog, regimental mascot, soil, dirt, ground",Regiment . . . ground.,"One of the members of our air force regiment has been shot down; he managed to safely eject, but his plane crashed into the ground.",ツイ,,
descend,"""descend",降,35,1405,10,6,3,"descend, pinnacle, parthenon, acropolis, walking legs, sunglasses with one lens missing, monocle","Pinnacle . . . walking legs . . . sunglasses with a lens popped out. Distinguish from fall (Frame 320) and crash, which we considered in the previous frame.","Sunglasses-missing-one-lens is obviously the monocle. The proper, high-class way to descend The Pinnacle is wearing a monocle with your walking legs splayed to a full gentlemanly stride.",コウ、ゴ,お.りる、お.ろす、ふ.る、ふ.り、くだ.る、くだ.す,"降りる (お.りる), 降ろす (お.ろす), 降る (ふ.る)"""
story,"""story",階,35,1406,12,3,2,"storey, pinnacle, parthenon, acropolis, all, compare, spoon, sitting on the ground, white, dove, spoon2, sitting on the ground2",The story of this character refers to floors in a building. The elements: pinnacle . . . all.,"All buildings of The Pinnacle are multi-storey. They don´t have much room, so they have to build up. It sucks when someone presses all the buttons on the elevator! You have to stop at each storey!",カイ,,
highness,"""highness",陛,35,1407,10,6,1,"highness, pinnacle, parthenon, acropolis, compare, spoon, sitting on the ground, soil, dirt, ground, spoon2, sitting on the ground2",This key word indicates a title of address to royalty. Its elements: pinnacle . . . compare . . . ground.,Your highness is the pinnacle of finesse compared to all of us commoners who are but like dirt on the ground.,ヘイ,,
neighboring,"""neighboring",隣,35,1408,16,,1,"neighbouring, pinnacle, parthenon, acropolis, shoeshine, rice, sunglasses, dancing legs, ballerina, evening",Pinnacle . . . rice . . . sunglasses.,"America thinks it is the pinnacle of the world, looking down on all neighboring countries through its mirrored, aviator sunglasses.",リン,とな.る、となり,"隣る (とな.る), 隣 (となり)"""
isolate,"""isolate",隔,35,1409,13,,1,"isolate, pinnacle, parthenon, acropolis, tripod, one, ceiling, mouth, hood, human legs, street, nail, spike",Pinnacle . . . ceiling . . . mouth . . . glass canopy . . . human legs . . . spike. You might want to compare the kanji for dissolve (Frame 1123).,"The Pinnacle, to me, is a city that makes itself out to be perfect but is filled with dirty secrets that photographers are always trying to reveal (see dissolve (#1044) The city´s councilmen have isolated all professional photographers to make sure they don´t photograph these """"dirty secrets"""". (which are up to your imagination).",カク,へだ.てる、へだ.たる,"隔たる (ひだ.たる), 隔てる (へだ.てる)"""
conceal,"""conceal",隠,35,1410,14,,1,"conceal, pinnacle, parthenon, acropolis, hideaway, claw, vulture, broom, heart",Pinnacle . . . vulture . . . broom . . . heart. Compare the element sat the right to the kanji for calm (Frame 1230).,The wheat farmer´s heart is calm (#1147) about the eagle not stealing his crops because of the broom scarecrow. But he still conceals all his wheat at The Pinnacle in case anyone else trys to steal it.,イン、オン,かく.す、かく.し、かく.れる、かか.す、よ.る,"隠す (かく.す), 隠れる (かく.れる)"""
degenerate,"""degenerate",堕,35,1411,12,,1,"degenerate, pinnacle, parthenon, acropolis, possess, by one’s side, moon, month, flesh, part of the body, ground, soil, dirt, ground",Pinnacle . . . possess . . . ground.,"Any attempt to possess the pinnacle will degenerate into a land (""""ground"""") war.",ダ,,
collapse,"""collapse",陥,35,1412,10,,1,"collapse, pinnacle, parthenon, acropolis, straight-jacket, bound up, olden times, old days, stick, sun, day",Pinnacle . . . bound up . . . olden times.,"The Pinnacle is actually bound up by supports from olden times. Eventually, they give out, and the whole thing starts to collapse.",カン,おちい.る、おとしい.れる,"陥る (おちい.る), 陥れる (おとしい.れる)"""
hole,"""hole",穴,35,1413,5,6,1,"hole, house, eight","House . . . eight.* As a primitive, this kanji uses an alternate form: the primitive for eight is replaced with that for human legs.","A black hole is a """"House of Infinity"""". Infinity is of course represented by a sideways """"8"""", but here we have a Japanese """"8"""" instead.",ケツ,あな,"穴 (あな)"""
empty,"""empty",空,35,1414,8,1,4,"empty, hole, house, human legs, craft",Hole . . . craft.,The craft of creating a black hole is in creating an emptiness which can attract things.,クウ,そら、あ.く、あ.き、あ.ける、から、す.く、す.かす、むな.しい,"空く (あ.く), 空ける (あ.ける), 空 (から), 空 (そら)"""
withdraw,"""withdraw",控,35,1415,11,,1,"withdraw, finger, fingers, empty, sky, hole, house, human legs, craft",Fingers . . . empty.,"With my fingers, I punch in my bank code and withdraw some money from my account. And now it´s empty again, as usual!",コウ,ひか.える、ひか.え,"控える (ひか.える)"""
stab,"""stab",突,35,1416,8,,3,"stab, hole, house, human legs, large, St. Bernard",Hole . . . St. Bernard dog.,When you stab something you often leave a big hole.,トツ、カ,つ.く,"突く (つ.く)"""
research,"""research",究,35,1417,7,3,4,"research, hole, house, human legs, nine, baseball",Hole . . . baseball.,"Most research scientists have 9 holes.....two nostrils, two ears, a mouth, and four eyes...... :-).",キュウ、ク,きわ.める,"究める (きわ.める)"""
plug,up,窒,35,1418,11,,1,"plug up, hole, house, human legs, climax, wall, one, ceiling, elbow, soil, dirt, ground",Hole . . . climax.,Sticking a plug up your hole will lead to stronger climaxes.,チツ,,
stealth,"""stealth",窃,35,1419,9,,1,"stealth, hole, house, human legs, cut, seven, sword, dagger",Hole . . . cut.,"This more commonly means """"steal"""", like how a thief cuts a hole to steal the jewels.",セツ,,
depression,"""depression",窪,35,1421,14,,,"depression, hole, house, human legs, water, water droplets, water pistol, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2","Hole . . . water . . . ivy. The depression referred to here is a sunken place in the ground, rather than in one's spirits.",A depression is a hole in the ground. Water naturally collects there which provides moisture for vines to grow.,ワ、ア,,
squeeze,"""squeeze",搾,35,1422,13,,1,"squeeze, finger, fingers, tight, hole, house, human legs, saw",Fingers . . . hole . . . saw.,You have trouble squeezing your hand through the hole so you use a saw to enlarge it.,サク,しぼ.る,"搾る (しぼ.る)"""
kiln,"""kiln",窯,35,1423,15,,1,"kiln, hole, house, human legs, sheep, oven-fire, barbecue",Hole . . . sheep . . . oven fire.,"Be sure to put a hole in that ceramic sheep before you put it over the fire. Otherwise, it´ll just explode in the kiln. (If you´ve never done ceramics before, it´s important that the object have a hole in it, or this really will happen.).",ヨウ,かま,"窯 (かま)"""
