meaning,translation,character,Lesson number,Frame number,Stroke number,Grade number,JLPT,Constituents,Example sentence 1,Example sentence 2,On-Yomi,Kun-Yomi,Example words
winter,"""winter",冬,18,456,5,2,4,"winter, walking legs, ice",Walking legs slipping on the ice are a sure sign of winter.,"Don´t slip off your legs in winter, strap two skis to your feet.",トウ,ふゆ,"冬 (ふゆ)"""
heavens,"""heavens",天,18,457,4,1,5,"heavens, heavens, one, ceiling, large","This character is meant to be a pictograph of a great man, said to represent the Lord of the Heavens. (You may, of course, use the elements ceiling and St. Bernard instead.)* The primitive can mean either the heaven of eternal bliss or the general term for sky, the heavens. Pay special attention to the fact that in its primitive form the first stroke is written right to left, rather like the first stroke of thousand (Frame 40), rather than left to right. From the next character, we shall give it the primitive meaning of a witch.","If you think of the sky as a ceiling above our heads, here you have the heavens as the largest ceiling you could ever imagine. As Heisig pointed out, nothing comes above the ceiling primitive thus the order of primitives is taken care of.",テン,あまつ、あめ、あま-,"天 (あめ)"""
bridge,"""bridge",橋,18,460,16,3,2,"bridge, tree, wood, angel, heavens, mouth, hood, mouth, mouth2","The bridge shown here is made of trees in their natural form, except that the trunks have been carved into the forms of angels, a sort of """"Ponte degli Angeli.""""","The nicest bridge is not in Hollywood or Los Angeles, but in San Francisco.",キョウ,はし,"橋 (はし)"""
attractive,"""attractive",嬌,18,461,15,,,"attractive, woman, angel, heavens, mouth, hood, mouth, mouth2",Associating a particularly attractive woman you know with an angel should be no problem.,The most attractive woman in the world is obviously Angelina Jolie.,キョウ,,
stand,up,立,18,462,5,1,4,"stand up, vase, stand up","This picture of a vase standing up has its meaning extended to represent the general posture of anything standing up.* Used as a primitive, it can also mean vase. Using its kanji meaning, think of something standing up that is normally lying down, or something standing up in an unusual way.",A vase that can´t stand up won´t be a vase for long.,リツ、リュウ、リットル,た.つ、-た.つ、た.ち-、た.てる、-た.てる、た.て-、たて-、-た.て、-だ.て、-だ.てる,"立案 (りつあん), 起立 (きりつ), 独立 (どくりつ), 立つ (た.つ), 立てる (た.てる)"""
cry,"""cry",泣,18,463,8,4,1,"cry, water, water droplets, water pistol, vase, stand up",One cries and cries until one is standing up knee-deep in water (or until one has a vase-full of water).,"Guys have two ways of watering when they are standing, the less common one is crying.",キュウ,な.く,"泣く (な.く)"""
badge,"""badge",章,18,464,11,3,2,"badge, vase, stand up, sunflower, early, sun, day, ten, needle",Try to imagine a club badge pinned to your lapel in the form of a mammoth sunflower protruding from a wee little vase.,"In the military, badges are given out early in the day, with everyone standing at attention.",ショウ,,
vie,"""vie",競,18,465,20,4,2,"vie, vase, stand up, elder brother, teenager, mouth, human legs, vase2, stand up2, elder brother2, teenager2, mouth2, human legs2","Two teenagers are seen here standing up to one another, vying for the attention of their peers.",TWO twin BROTHERS are competing (VYING) for the title of who is the older BROTHER. The game is that they must balance a VASE on their head and the one who drops his looses and becomes the younger BROTHER!,キョウ、ケイ,きそ.う、せ.る,"競争 (きょうそう), 競技 (きょうぎ), 競泳 (きょうえい), 競う (きそ.う), 競る (せ.る)"""
sovereign,"""sovereign",帝,18,466,9,,1,"sovereign, vase, stand up, apron, crown, towel","An uncommon, but not altogether unlikely picture of a reigning sovereign has him standing up in his apron, presumably at the behest of HIS sovereign (she who is to be obeyed), who needs help with washing the dishes.","The crazy sovereign stands up from his throne, wearing nothing but a crown and a towel. That´s why they try to keep him locked up in the castle away from the public.",テイ,,
juvenile,"""juvenile",童,18,468,12,3,2,"juvenile, vase, stand up, computer","This frame shows up the image of a juvenile hacker standing on top of a computer, or rather jumping up and down on it, because it refused to come up with the right answer.",The juvenile stood on top of his computer and broke it. Noob.,ドウ,わらべ,"童 (わらべ)"""
pupil,"""pupil",瞳,18,469,17,,1,"pupil, eye, juvenile, vase, stand up, computer","Begin with the double meaning of the key word pupil: """"student"""" and the """"the apple of one's eye."""" Now all you have to do is dwell on the phrase """"juvenile of one's eye"""" (the meaning here) until it provides you with an image.","In Japanese comics, the eye´s of juvenilles all have enormouse pupils.",ドウ、トウ,ひとみ,"瞳 (ひとみ)"""
bell,"""bell",鐘,18,470,20,,1,"bell, metal, gold, juvenile, vase, stand up, computer","This bell is made of cheap metal, and so badly made that when you ring it, it lets out a noise like the """"bellowing"""" of juveniles who aren't getting their own way.",The METAL bell rings to call the JUVENILES to class.,ショウ,かね,"鐘 (かね)"""
make,a,商,18,471,11,3,3,"make a deal, vase, stand up, alien, hood, human legs, mouth","See the peddlar standing atop his motorcycle helmet as if it were a soapbox, hawking his wares to passersby. The legs and mouth represent the tools of the trade of making a deal any way you can.",I use what I think is the real etymology for this kanji which is so shocking it sticks. The STANDING member at the top is a certain part of the body that all men have and it is approaching the HOLE between TWO LEGS (the HOOD) with extra marks to show they are FLESHY - ie a womans legs. So this shows the oldest DEAL of all time - prostitution.,ショウ,あきな.う,"商う (あきな.う)"""
legitimate,wife,嫡,18,472,14,,1,"legitimate wife, woman, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth","The phrase legitimate wife would have no meaning if there were not such things as """"illegitimate wives,"""" taken because one's legal woman has turned into an antique. The very offense of the idea should help you remember the kanji.",Legitmate wifes tend to be women who are antiques in contrast to the young bit of illigitmate fluff on the side.,チャク、テキ,,
suitable,"""suitable",適,18,473,14,5,3,"suitable, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, road",Can you imagine anything less suitable to do with one's precious antiques than to display them in the middle of a crowded road-way?,"Think of the term from televison """"suitable for all audiences"""" to get the sense of the word. What program could be more suitable for the whole family than the """"antiques road(show)"""".",テキ,,
drip,"""drip",滴,18,474,14,,2,"drip, water, water droplets, water pistol, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth","Picture water dripping on what you thought were precious antiques, only to find that the artificial aging painted on them is running!",DRIPS of WATER were collected in ANTIQUE VASES since the museum had a leaky roof.,テキ,しずく、したた.る,"滴 (しずく), 滴る (したた.る)"""
enemy,"""enemy",敵,18,475,15,5,1,"enemy, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, taskmaster","Picture your most precious antique (it doesn't matter how old it really is, so long as it is the oldest thing YOU own) being knocked over by your most unlikeable taskmaster, and you have a good picture of how people make themselves enemies for life.",The taskmaster became my enemy for life when he smashed the antique vase holding my wife´s ashes.,テキ,かたき、あだ、かな.う,"敵 (かたき)"""
spoon,"""spoon",匕,18,476,2,,,"spoon, sitting on the ground","This character, a pictograph of a spoon, is easy enough to remember, provided you keep it distinct from that for seven, where the first stroke is written left to right (the opposite of here) and cuts noticeably across the second.* As a primitive, this kanji can take on the additional meaning of someone sitting on the ground, of which it can also be considered a pictograph. In general, the second stroke does not cut through the first - or if it does in some fonts, only slightly.","To remember the primitive meaning, picture someone sitting on the ground performing Seppuku...with a spoon. http://tinyurl.com/co48k.",ヒ,,
north,"""north",北,18,480,5,2,5,"north, spoon, sitting on the ground","The cold air from the north is so strong that we see two people sitting on the ground back to back, their arms interlocked so they don't blow away. (Pay special attention to the drawing of the first 3 strokes.)",Warning: The left part is NOT the primitive turtle! The stroke order is different. Sometimes it will look exactly the same but not always depending on the font / style used to draw this character. Be sure to study the difference!,ホク,きた,"北 (きた)"""
stature,"""stature",背,18,481,9,6,3,"stature, north, spoon, sitting on the ground, moon, month, flesh, part of the body","One's stature is measured according to the """"northern-most"""" part of the body.","While japanese people are generally small, people in the northern contryes have taller stature because of all the flesh they eat!",ハイ,せ、せい、そむ.く、そむ.ける,"背 (せ), 背 (せい), 背く (そむ.く), 背ける (そむ.ける)"""
compare,"""compare",比,18,482,4,5,2,"compare, spoon, sitting on the ground, spoon2, sitting on the ground2","With two spoons, one in each hand, you are comparing your mother's cooking with your mother-in-law's.",A gay couple about to turn around to compare which role is better...,ヒ,くら.べる,"比べる (くら.べる)"""
descendants,"""descendants",昆,18,483,8,,1,"descendants, sun, day, compare, spoon, sitting on the ground, spoon2, sitting on the ground2","By comparing apes with anthropoids, we not only discover the latter have descended from those progenitors educated in the higher branches, but that the very idea of seeing everything descended from everything else, one way or another, means that there is """"nothing new UNDER the sun.""""",Grandparent spends all DAY COMPARING photos of their DESCENDANTS.,コン,,
all,"""all",皆,18,484,9,,3,"all, compare, spoon, sitting on the ground, white, dove, spoon2, sitting on the ground2","Think of the housewives in TV commercials """"comparing the whiteness"""" of their laundry across the fence, a typical advertisement for the popular detergent known as All. (If you don't know the brand, surely you've heard the phrases """"all-purpose detergent"""" or """"all-temperature detergent."""")","If you compare colors, you will find that white is produced from the mix of all the others.",カイ,みな、みんな,"皆 (みな)"""
mix,"""mix",混,18,487,11,5,2,"mix, water, water droplets, water pistol, descendants, sun, day, compare, spoon, sitting on the ground, spoon2, sitting on the ground2","Mixed marriages, this character suggests, water down the quality of one's descendants - the oldest racial nonsense in the world!","People have to mix their fluids (have sex), in order to create descendants.",コン,ま.じる、-ま.じり、ま.ざる、ま.ぜる、こ.む,"混ざる (ま.ざる), 混じる (ま.じる), 混ぜる (ま.ぜる)"""
thirst,"""thirst",渇,18,488,11,,1,"thirst, water, water droplets, water pistol, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground","As you pass by the muchacho taking the siesta, he cries out that he is thirsty and asks for something to drink. So you turn the water hose on him.",You awaken from your siesta because you feel extremely thirsty so you go looking for some water.,カツ,かわ.く,"渇く (かわ.く)"""
audience,"""audience",謁,18,489,15,,1,"audience, say, words, keitai, mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground","Imagine an audience with the emperor or the pope in which all those in attendance are sitting down, leaning against the wall, sleeping like our muchacho on siesta as the honorable host delivers his speech.",The talk was so boring the audience took a siesta.,エツ,,
brown,"""brown",褐,18,490,13,,1,"brown, cloak, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground","The color of the serape or cloak of our muchacho on siesta is a dull brown, the color this kanji indicates.",Why is my package late? Imagine a UPS driver dressed in BROWN garments taking a siesta. What can BROWN do for you?,カツ,,
hoarse,"""hoarse",喝,18,491,11,,1,"hoarse, mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground","When the muchacho on siesta looks up at you and opens his mouth to talk, his voice is so hoarse that you cannot understand him.","If you have a siesta with your mouthopen, you will wake up with a hoarse voice.",カツ,,
delicious,"""delicious",旨,18,493,6,,1,"delicious, spoon, sitting on the ground, sun, day",Something is so downright delicious that one spends the entire day with a spoon in hand gobbling it up.,Use a spoon to eat a DELICIOUS hot fudge sundae. Duh..,シ,むね、うま.い,"旨 (むね)"""
fat,"""fat",脂,18,494,10,,2,"fat, moon, month, flesh, part of the body, delicious, spoon, sun, day","This kanji tells us that if you feed the flesh with too many delicious things, it soon picks up a thick layer of fat.","Every chef will tell you, fat is what make the meat taste delicious.",シ,あぶら,"脂 (あぶら)"""
I,(one),壱,18,496,7,,1,"1 (one), samurai, crown, spoon, sitting on the ground","The Roman numeral I - like that for II we met earlier in frame 379 - is only rarely used now. In the midst of all the samurai, we notice one in particular sitting on the ground with a crown on his head, indicating that he is """"number I"""" in the current rankings.","I am ´the one´ , says the samurai with the crown around his waist and a spoon up his a***.",イチ、イツ,,
every,"""every",毎,18,497,6,2,5,"every, reclining, lying down, mother","""""Behind every successful person lies a woman...,"""" who usually turns out to be one's mama!",Freud believed every man wants to lie down with his mother.,マイ,,
cleverness,"""cleverness",敏,18,498,10,,1,"cleverness, every, reclining, lying down, mother, breasts, taskmaster","Behind every successful taskmaster, the cleverness of a fox to outwit his charges.",Every master(or taskmaster) must have some degree of cleverness.,ビン,,
plum,"""plum",梅,18,499,10,4,1,"plum, tree, wood, every, reclining, lying down, mother, breasts","Behind every Jack Horner's pie maker, a tree full of plums.","Plums actually grow on every single tree. What, you didn´t know that? They do. Orange trees, apple trees, cantaloupe trees. Plums are simply mutant fruits that have been installed in the root software of every single tree. I hear that some plum-loving scientists are working on a way to hack every tree´s genetic code so that every tree will bear nothing _but_ plums.",バイ,うめ,"梅 (うめ)"""
sea,"""sea",海,18,500,9,2,4,"sea, water, water droplets, water pistol, every, reclining, lying down, mother, breasts","Behind every drop of water, a sea from which it originated.",Every drop of water will eventually return to the sea.,カイ,うみ,"海 (うみ)"""
beg,"""beg",乞,18,501,3,,,"beg, reclining, lying down, fishhook","See someone lying down in a public place with a hook in place of a hand, begging a morsel of rice or a few pence.","Lying down, Captain Hook is begging to be spared from the ticking crocodile.",コツ、キツ、キ、キケ、コチ,こ.う,"乞う (こ.う)"""
drought,"""drought",乾,18,502,11,,2,"drought, mist, ten, needle, early, sun, day, beg, reclining, lying down, fishhook, ten2, needle2",In times of drought anything at all will do. Here we see the victims begging for just a little mist for relief.,"During a drought, everything begs for even a mist for relief.",カン、ケン,かわ.く、かわ.かす、ほ.す、ひ.る、いぬい,"乾かす (かわ.かす), 乾く (かわ.く)"""
abdomen,"""abdomen",腹,18,503,13,6,3,"abdomen, moon, month, flesh, part of the body, fold back, double back, reclining, lying down, sun, day, walking legs","If you double back (fold over) most animals - or people, for that matter - in the middle, the part of the body where the crease comes is the abdomen.",The only body part that doubles over.,フク,はら,"腹 (はら)"""
duplicate,"""duplicate",複,18,504,14,5,2,"duplicate, cloak, fold back, double back, reclining, lying down, sun, day, walking legs","In its original and etymologically transparent sense, to duplicate something means to double it back with a fold, like the fold of a cloak.","My girlfiend saw someone wearing the exact same (duplicate) outfit at a party, so she doubled back to change!",フク,,
lack,"""lack",欠,18,505,4,4,3,"lack, yawn","The pictograph hidden in this character is of someone yawning. The first stroke shows the head thrown back; the second, the arm bent at the elbow as the hand reaches up to cover the mouth; and the last two, the legs. Since yawning shows a lack of something (psychologically, interest; physiologically, sleep), the connection is plain to see.* As a primitive, it can mean either yawn or lack.","To me, this kanji looks like a person with two arms and two legs, but who lacks a head.",ケツ、ケン,か.ける、か.く、あくび,"欠く (か.く), 欠ける (か.ける)"""
blow,"""blow",吹,18,506,7,,3,"blow, mouth, lack, yawn",To blow is really no more than a deliberate effort to make one's mouth lack all the air that is in it.,"This is clearly a BLOWJOB, we can see the MOUTH and the LACK OF condom. (I am sorry for the image, but it sticks forever in your mind).",スイ,ふ.く,"吹く (ふ.く)"""
cook,"""cook",炊,18,507,8,,1,"cook, fire, lack, yawn","Better to picture what happens when you do not pay attention to your work in the kitchen. Here we see a blazing fire and an inattentive, yawning cook who let things get out of control.","Japanese cooking sometimes lacks fire, e.g., sashimi.",スイ,た.く、-だ.き,"炊く (た.く)"""
song,"""song",歌,18,508,14,2,4,"song, cancan, can, mouth, street, nail, spike, lack, yawn, can2, mouth2, street2, nail2, spike2","The song in this kanji is being sung by a chorus line of can-can girls. Why it should be eliciting nothing but yawning from the audience, I leave to you to decide.","Can-Can-ers lack the ability to sing a song, so they just dance.",カ,うた、うた.う,"歌 (うた), 歌う (うた.う)"""
soft,"""soft",軟,18,509,11,,2,"soft, car, lack, yawn","If the cushions of one's car are too soft, one may begin yawning at the wheel.","Cars are rough steel things, lacking softness.",ナン,やわ.らか、やわ.らかい,"軟らか (やわ.らか), 軟らかい (やわ.らかい)"""
next,"""next",次,18,510,6,3,3,"next, ice, lack, yawn","This key word connotes the """"next in line"""" of a succession of people or things. Let there be a lack of ice on the hottest day of summer, and you stand impatiently in line waiting for the distributor to call out """"Next!""""* As a primitive, this character can either retain its key word meaning of next or the related meaning of second.","Is this store lacking ice? Let´s try the next one, then.",ジ、シ,つ.ぐ、つぎ,"次回 (じかい), 次元 (じげん), 目次 (もくじ), 次ぐ (つ.ぐ), 次 (つぎ)"""
briar,"""briar",茨,18,511,9,,,"briar, flowers, next, ice, lack, yawn","Earlier we made mention of the story of Briar Rose (or """"Sleeping Beauty,"""" as we called her in frame 165) and drew attention to the briar hedge that grew up all about her castle. But in the second part of the story, these briars blossomed into flowers. Hence her name, Briar Rose. Be careful not to confuse this character with that for thorn (Frame 446).","To prevent animals from eating the beautiful flowers in your garden, the best thing to do is to plant briar bushes immediately next to them.",シ、ジ,いばら、かや、くさぶき,"茨 (いばら)"""
assets,"""assets",資,18,512,13,5,3,"assets, next, ice, lack, yawn, shellfish, clam, oyster, eye, animal legs, eight","The first shells (money) you earn, you use to pay your debts. From then on, the next shells you accumulate become your assets.",Assets are the next best thing to money.,シ,,
figure,"""figure",姿,18,513,9,6,1,"figure, next, ice, lack, yawn, woman",This kanji depicts a woman's figure as a sort of second self.,"The next woman always has a better figure! Thinking like that, you´ll end up alone in an old folks home longing for the good old days!",シ,すがた,"姿 (すがた)"""
consult,with,諮,18,514,16,,1,"consult with, say, words, keitai, mouth, next, ice, lack, yawn, mouth, mouth2",To seek the words of a second mouth is to consult with someone about something.,"Having a word with the next mouth over, like a neighbor, is usually a good way to consult with somebody for cheap. Because, you know, actual consultants charge huge sums.",シ,はか.る,"諮る (はか.る)"""
compensation,"""compensation",賠,19,515,15,,1,"compensation, shellfish, clam, oyster, eye, animal legs, eight, muzzle, vase, stand up, mouth",Picture a clam used as a muzzle to quiet the complaints of a fisherman's widow asking compensation for her husband lost at sea.,Compensation is money you give to someone to shut them up (i.e. muzzle their mouth).,バイ,,
cultivate,"""cultivate",培,19,516,11,,1,"cultivate, soil, dirt, ground, muzzle, vase, stand up, mouth",The barrel hoops used by many Japanese farmers to stretch clear plastic over row of vegetables in a garden patch in the hopes of cultivating bigger and bigger vegetables is a way of muzzling the soil.,"To cultivate the land is to tame it, control it. In short, you muzzle it´s unruly, chaotic nature.",バイ,つちか.う,"培う (つちか.う)"""
divide,"""divide",剖,19,517,10,,1,"divide, muzzle, vase, stand up, mouth, sword, sabre, saber","To """"divide and conquer"""" you use a saber and a muzzle.","When you DIVIDE someone, there is sure to be a lot of screaming. That´s why you should use a MUZZLE before using the SABER.",ボウ,,
sound,"""sound",音,19,518,9,1,4,"sound, vase, stand up, sun, day, tongue wagging","The kanji for sound depicts something standing in the air over a tongue wagging in a mouth, much the same as a sound does for the briefest of moments before disappearing.* The primitive from this kanji also means simply a sound.","If you were standing on the sun, believe me, you´d be making sound.",オン、イン、ノン,おと、ね,"音楽 (おんがく), 発音 (はつおん), 騒音 (そうおん), 音 (おと), 音 (ね)"""
darkness,"""darkness",暗,19,519,13,3,3,"darkness, sun, day, sound, vase, stand up, sun, day, sun2, day2","When """"darkness covered the earth"""" at the beginning of time, there was neither sun nor sound.",Picture the sun exploding - there would be a gigantic noise and then...nothing. Everything would plunge into darkness.,アン,くら.い、くら.む、くれ.る,"暗い (くら.い)"""
rhyme,"""rhyme",韻,19,520,19,,1,"rhyme, sound, vase, stand up, sun, day, employee, mouth, shellfish, clam, oyster, eye, animal legs, eight","Poetry restricted to verses that rhyme often finds it has to abandon clarity of thought in order to make the rhyme of the words work. In this kanji's picture, one becomes a kind of """"sound-employee.""""",What is a RHYME but some SOUND that EMPLOYEES say to get them through work.,イン,,
discriminating,"""discriminating",識,19,521,19,5,3,"discriminating, say, words, keitai, mouth, kazoo, sound, vase, stand up, sun, day, fiesta",A person of discriminating intellect can tell the difference between mere kazoo-buzzing and words spoken wisely.,Words are difficult to discriminate/discern from sounds in the middle of a fiesta.,シキ,,
mirror,"""mirror",鏡,19,522,19,4,1,"mirror, metal, gold, mirror, vase, stand up, sun, day, human legs","After lakes but before glass, polished metal was used for mirrors. These metal mirrors are recalled in this character for a mirror.",Mirror should suggest vanity. Imagine a spoiled girl who gets her parents to buy her a Golden mirror so she can stand in front of it all day vainly admiring her lovely human legs.,キョウ、ケイ,かがみ,"鏡 (かがみ)"""
boundary,"""boundary",境,19,523,14,5,2,"boundary, soil, dirt, ground, mirror, vase, stand up, sun, day, human legs",Imagine the boundary of a plot of land marked with gigantic mirrors enabling the landowner to keep trespassers in sight at all times.,"In the dense cities of Japan even a small garden is a luxury. In this house, the owner has put mirrors on the boundary of his land so it feels much bigger.",キョウ、ケイ,さかい,"境界 (きょうかい), 境地 (きょうち), 逆境 (ぎゃっきょう), 境 (さかい)"""
deceased,"""deceased",亡,19,524,3,6,3,"deceased, perish, top hat, fishhook","A top hat hanging on a hook in the front hall, right where the deceased left it the day he died, reminds us of him and his kanji.* In addition to deceased, the primitive meaning of to perish will also be used for this character.",The top hat hanging on a hook belonged to the now deceased Charlie Chaplin.,ボウ、モウ,な.い、な.き-、ほろ.びる、ほろ.ぶ、ほろ.ぼす,"亡父 (ぼうふ), 亡命 (ぼうめい), 存亡 (そんぼう), 亡い (な.い)"""
blind,"""blind",盲,19,525,8,,1,"blind, deceased, perish, top hat, fishhook, eye","If one's eyes perish before death, one remains blind for the rest of life.",Deceased eyes! Easy ;).,モウ,,
delusion,"""delusion",妄,19,526,6,,1,"delusion, deceased, perish, top hat, fishhook, woman","The """"ideal woman"""" one daydreams about is no more than a delusion. Hence, perish the thought of her.","I had a problem with remembering that """"deceased"""" went over the """"woman"""". So, here´s my story: The delusional woman was carrying her deceased husband on her back.",モウ、ボウ,みだ.りに,"妄信 (もうしん), 妄想 (もうそう), 迷妄 (めいもう)"""
laid,waste,荒,19,527,9,,2,"laid waste, wreath, flowers, deceased, perish, top hat, fishhook, stream, flood",The flowers that perish in the flood are taken here as symbols of an area that has been laid waste.,"After Godzilla laid waste to the city, the survivors put some flowers on the bodies of the deceased and floated their bodies down the stream.",コウ,あら.い、あら-、あ.れる、あ.らす、-あ.らし、すさ.む,"荒らす (あ.らす), 荒れる (あ.れる), 荒い (あら.い)"""
ambition,"""ambition",望,19,528,11,4,3,"ambition, deceased, perish, top hat, fishhook, moon, month, flesh, part of the body, king, jewel, ball","The story of ambition talks of a king walking under the perishing (or """"waning"""") moon dreaming great dreams about his kingdom. (The roots of ambition are from the same word as """"ambulate,"""" meaning to walk about.)","You´re dead meat, buddy, my ambition is to be king.",ボウ、モウ,のぞ.む、もち,"望郷 (ぼうきょう), 希望 (きぼう), 人望 (じんぼう), 望む (のぞ.む)"""
direction,"""direction",方,19,529,4,2,4,"direction, compass, direction","Spinning a dagger about on its hilt on the top of a top hat - waiting to see in which direction it points when it comes to rest - one leaves to fate where one is going next. Take care in writing this character.* As a primitive, this character will take the sense of a compass, the instrument used to determine direction.",Note: The primitives are top hat and bound up. Compare ten thousand (#64). Story: A rich man wearing a top hat and bound up from head to toe hobbles up to you and asks for directions to the nearest police station because he just escaped from his kidnappers.,ホウ,かた、-かた、-がた,"方 (かた)"""
disturb,"""disturb",妨,19,530,7,,1,"disturb, compass, direction, woman","Imagine a compass that is disturbed every time a woman passes by, sending the needle spinning madly round and round.",Capt. Jack Sparrow´s compass gets disturbed every time a beautiful woman walks by him (just picture Keira Knightley in her sexy asian outfit as Elizabeth and the image will be fixed forever).,ボウ,さまた.げる,"妨げる (さまた.げる)"""
boy,"""boy",坊,19,531,7,,,"boy, soil, dirt, ground, compass, direction","The character for a boy shows us a Boy Scout cleaning the dirt out of his compass - the more dirt, the better.",Little boys always head in the direction of mud and dirt.,ボウ、ボッ,,"坊主 (ぼうず), 朝寝坊 (あさねぼう), 赤ん坊 (あかんぼう)"""
perfumed,"""perfumed",芳,19,532,7,,1,"perfume, flowers, compass, direction",Here we see a special compass used to pick out those flowers most suited for making good perfumes.,"She used a perfume so strong, that you can track her by following the direction of the smell of flowers.",ホウ,かんば.しい,"芳しい (かんば.しい)"""
obese,"""obese",肪,19,533,8,,1,"obese, moon, month, flesh, part of the body, compass, direction","If you eat too much, you may need a compass to find your way around the obese mass of flesh that piles up in the midsection. Compare this with your stories for round (Frame 44) and fat (Frame 494), similar in meaning but distinct in imagery.",Flesh in all directions = obese.,ボウ,,
call,on,訪,19,534,11,6,3,"call on, say, words, keitai, mouth, compass, direction","When making a courtesy call on a dignitary, one has to gauge one's words with great care. Hence the need for a compass.","When you call on someone, you point your words in their direction.",ホウ,おとず.れる、たず.ねる、と.う,"訪れる (おとず.れる), 訪ねる (たず.ねる)"""
set,free,放,19,535,8,3,3,"set free, compass, direction, taskmaster","The taskmaster sets an unruly servant free, giving him no more than a quick glance at the compass and a boot from behind.",Go in any direction away from your taskmaster when you are set free.,ホウ,はな.す、-っぱな.し、はな.つ、はな.れる、こ.く、ほう.る,"放す (はな.す), 放つ (はな.つ), 放れる (はな.れる)"""
violent,"""violent",激,19,536,16,6,1,"violent, water, water droplets, water pistol, white, dove, compass, direction, taskmaster","Some cosmic taskmaster hovering overhead whips up the waves to make them dash violently against the shore. In the white foam that covers the water we see a broken compass floating, all that remains of a shipwreck.","When the taskmaster found his favorite white compas damaged by water, he became the most violent taskmaster there ever was.",ゲキ,はげ.しい,"激しい (はげ.しい)"""
undress,"""undress",脱,19,537,11,,1,"undress, moon, month, flesh, part of the body, devil, horns, elder brother, teenager, mouth, human legs","To undress is to expose the flesh and tempt the devil in the eyes of one's onlookers. Ignore the moral if you want, but not the devil.",HORNY TEENAGERS love to UNDRESS FLESH.,ダツ,ぬ.ぐ、ぬ.げる,"脱ぐ (ぬ.ぐ), 脱げる (ぬ.げる)"""
explanation,"""explanation",説,19,538,14,4,3,"rumor, say, words, keitai, mouth, devil, horns, elder brother, teenager, mouth, human legs","Not inappropriately, this character likens an explanation to the devil's own words.",The words of a horny teenager typically fall into one of two categories: either rumors or explanations.,セツ、ゼイ,と.く,"説明 (せつめい), 小説 (しょうせつ), 演説 (えんぜつ), 説く (と.く)"""
pointed,"""pointed",鋭,19,539,15,,2,"pointed, metal, gold, devil, horns, elder brother, teenager, mouth, human legs","Metal that has been pointed (as an awl, a pick, a nail, or a knife) tends to serve the devil's purposes as well as civilization's: our tools are also our weapons.",Pointed is the metal devil´s pitchfork.,エイ,するど.い,"鋭い (するど.い)"""
formerly,"""formerly",曽,19,540,11,,,"formerly, increase, horns, rice field, brains, sun, day","This primitive (named for its associations with the kanji of the following frame) is composed of a pair of horns growing out of a brain with a tongue wagging in the mouth beneath. Think of """"former"""" in connection with administrators or heads of state who have just left office but continue to make a nuisance of themselves by advertising their opinions on public policy.* The primitive meaning, increase, comes from the next frame. Always think of something multiplying wildly as you watch.","The Artist formerly Known as Prince has the horniest brain around, and I think you can imagine what his wagging tongue is doing...",ソウ、ソ、ゾウ,,
increase,"""increase",増,19,541,14,5,3,"increase, soil, dirt, ground, increase, formerly, horns, rice field, brains, sun, day","This kanji depicts an increase of soil, multiplying so fast that it literally buries everything in its path.",Prices always INCREASE for LAND that was FORMERLY cheaper.,ゾウ,ま.す、ま.し、ふ.える、ふ.やす,"増える (ふ.える), 増やす (ふ.やす), 増す (ま.す)"""
presents,"""presents",贈,19,542,18,,2,"presents, shellfish, clam, oyster, eye, animal legs, eight, increase, formerly, horns, rice field, brains, sun, day","The presents offered here are money that increases each time you give it away. Do not confuse with the temporal word """"present"""" (Frame 275).",Presents represent money that was formerly yours.,ゾウ、ソウ,おく.る,"贈与 (ぞうよ), 贈呈 (ぞうてい), 贈答 (ぞうとう), 贈る (おく.る)"""
east,"""east",東,19,543,8,2,5,"east, sun, day, tree, wood","As a """"Western"""" language, English identifies the east with the rising sun. In more fanciful terms, we see the sun piercing through a tree as it rises in the east.* Both the direction east and the part of the world called """"the East"""" are primitive meanings of this character.",Traditionally seen as a pictograph of the sun rising behind a tree.,トウ,ひがし,"東 (ひがし)"""
ridgepole,"""ridgepole",棟,19,544,12,,1,"ridgepole, tree, wood, east, tree, wood, sun, day, tree2, wood2","If the piece of wood in the roof known as the ridgepole points east, the sunrise will be visible from the front door.",Feng Shui states that the ridgepole of a house should be made of wood and face east.,トウ,むね、むな-,"棟 (むね)"""
